country,total_population,gdp,defense_budget,total_manpower,active_personnel,reserve_personnel,air_force_personnel,army_personnel,navy_personnel,total_aircraft,attack_aircraft,fighter_aircraft,transport_aircraft,helicopters,special_mission_aircraft,trainer_aircraft,attack_helicopters,tanker_aircraft,naval_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessel,mine_warfare,tanks,self_propelled_artillery,towed_artillery,rocket_artillery,external_debt,power_index,alliance_flag,continent,region,flag_image_url,total_military_hardware,assets_per_capita,budget_gdp_ratio,rank,power_index_rank_gap
Netherlands,17772378.0,1276000000000.0,31791150000.0,7997570.0,44245.0,8510.0,9500.0,53212.0,24822.0,130.0,38.0,0.0,4.0,67.0,0.0,21.0,16.0,0.0,140.0,0.0,0.0,0.0,6.0,0.0,3.0,76.0,3.0,18.0,46.0,0.0,4.0,5257949730000.0,0.6142,NATO,Europe,Western Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Netherlands.svg/25px-Flag_of_Netherlands.svg.png,288.0,3.6e-05,0.02491,34,33
China,1415043270.0,33598000000000.0,303000000000.0,764123366.0,2035000.0,510000.0,403000.0,2545000.0,384000.0,3529.0,371.0,1443.0,287.0,1007.0,105.0,401.0,281.0,9.0,841.0,3.0,4.0,53.0,46.0,50.0,61.0,150.0,36.0,5870.0,2940.0,1400.0,2770.0,488114000000.0,0.0919,Non-Aligned,Asia,Eastern Asia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_China.svg/25px-Flag_of_China.svg.png,10240.0,1.34e-05,0.00902,3,2
Vietnam,105758975.0,1456000000000.0,10200000000.0,54994667.0,450000.0,5000000.0,35000.0,5450000.0,50000.0,265.0,0.0,61.0,6.0,101.0,3.0,91.0,0.0,0.0,116.0,0.0,0.0,0.0,9.0,17.0,6.0,27.0,8.0,1999.0,30.0,3250.0,774.0,34426000000.0,0.4066,Non-Aligned,Asia,South-East Asia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Vietnam.svg/25px-Flag_of_Vietnam.svg.png,2380.0,4.33e-05,0.00701,23,22
Croatia,4150116.0,164825000000.0,2744000000.0,2033557.0,14325.0,20100.0,1500.0,7000.0,1365.0,67.0,0.0,12.0,0.0,37.0,0.0,26.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,55.0,25.0,42.0,42.0,60500000000.0,1.5432,NATO,Europe,Southern Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Croatia.svg/25px-Flag_of_Croatia.svg.png,152.0,7.47e-05,0.01665,73,72
United States Of America,341963408.0,25676000000000.0,831500000000.0,150463900.0,1333030.0,799500.0,708758.0,1174890.0,612124.0,13032.0,926.0,1791.0,917.0,5913.0,611.0,2610.0,1024.0,610.0,465.0,11.0,9.0,83.0,0.0,27.0,66.0,0.0,4.0,4666.0,1521.0,1878.0,1731.0,24538900710000.0,0.0741,NATO,Americas,Northern America,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_United_States_Of_America.svg/25px-Flag_of_United_States_Of_America.svg.png,18163.0,0.0001207,0.03238,1,0
Canada,38794813.0,2341000000000.0,45824959620.0,16681770.0,63500.0,23000.0,15560.0,49300.0,16300.0,354.0,0.0,66.0,29.0,146.0,34.0,95.0,0.0,6.0,67.0,0.0,0.0,0.0,12.0,0.0,4.0,17.0,0.0,74.0,0.0,0.0,0.0,2571113270000.0,0.5269,NATO,Americas,Northern America,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Canada.svg/25px-Flag_of_Canada.svg.png,495.0,2.97e-05,0.01957,28,27
India,1409128296.0,14244000000000.0,109000000000.0,662290299.0,1431000.0,1000000.0,289000.0,2148000.0,148869.0,2183.0,124.0,476.0,277.0,594.0,72.0,334.0,79.0,6.0,343.0,2.0,0.0,13.0,18.0,21.0,18.0,146.0,0.0,3913.0,100.0,5640.0,300.0,212728000000.0,0.1346,Non-Aligned,Asia,Southern Asia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_India.svg/25px-Flag_of_India.svg.png,6439.0,9.7e-06,0.00765,4,3
Democratic Republic Of The Congo,115403027.0,164367000000.0,960000000.0,39237029.0,166580.0,30800.0,2550.0,103000.0,6700.0,56.0,6.0,0.0,10.0,38.0,0.0,2.0,9.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,212.0,16.0,125.0,81.0,7926000000.0,1.3051,Non-Aligned,Africa,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Democratic_Republic_Of_The_Congo.svg/25px-Flag_of_Democratic_Republic_Of_The_Congo.svg.png,284.0,7.2e-06,0.00584,64,63
Namibia,2803660.0,31154000000.0,450498000.0,616805.0,17567.0,0.0,1175.0,8500.0,3000.0,36.0,0.0,11.0,5.0,7.0,0.0,13.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,0.0,7.0,0.0,50.0,55.0,9680000000.0,2.7414,Non-Aligned,Africa,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Namibia.svg/25px-Flag_of_Namibia.svg.png,58.0,9.4e-05,0.01446,122,121
Paraguay,7522549.0,112919000000.0,416800000.0,3535598.0,15650.0,168500.0,1100.0,180000.0,5400.0,49.0,4.0,0.0,12.0,18.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,50.0,0.0,13783000000.0,1.7974,Non-Aligned,Americas,South America,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Paraguay.svg/25px-Flag_of_Paraguay.svg.png,59.0,1.67e-05,0.00369,81,80
Ecuador,18309984.0,252728000000.0,2963400000.0,8422593.0,41250.0,118000.0,6200.0,25650.0,9400.0,99.0,0.0,0.0,20.0,43.0,8.0,34.0,0.0,0.0,30.0,0.0,0.0,0.0,2.0,6.0,2.0,5.0,0.0,202.0,5.0,106.0,24.0,39658000000.0,1.4479,Non-Aligned,Americas,South America,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Ecuador.svg/25px-Flag_of_Ecuador.svg.png,331.0,3.93e-05,0.01173,72,71
Algeria,47022473.0,722912000000.0,25000000000.0,22570787.0,130000.0,150000.0,14000.0,280000.0,15000.0,620.0,42.0,111.0,63.0,300.0,10.0,90.0,74.0,4.0,111.0,0.0,0.0,0.0,8.0,8.0,6.0,75.0,3.0,1485.0,224.0,483.0,188.0,4764000000.0,0.4849,Non-Aligned,Africa,Northern Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Algeria.svg/25px-Flag_of_Algeria.svg.png,2216.0,9.82e-05,0.03458,27,26
Botswana,2450668.0,45553000000.0,581000000.0,1029281.0,12000.0,0.0,500.0,12000.0,0.0,45.0,0.0,10.0,9.0,16.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,12.0,36.0,20.0,1761000000.0,2.9993,Non-Aligned,Africa,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Botswana.svg/25px-Flag_of_Botswana.svg.png,90.0,8.74e-05,0.01275,130,129
Uzbekistan,36520593.0,379989000000.0,6210000000.0,18990708.0,120000.0,0.0,15000.0,95000.0,550.0,159.0,13.0,26.0,12.0,101.0,0.0,7.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,177.0,236.0,108.0,25714000000.0,0.9908,Non-Aligned,Asia,Central Asia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Uzbekistan.svg/25px-Flag_of_Uzbekistan.svg.png,629.0,3.31e-05,0.01634,53,52
Tanzania,67462121.0,246706000000.0,1476113361.0,12143182.0,25000.0,0.0,1825.0,21975.0,1200.0,38.0,0.0,11.0,6.0,15.0,0.0,6.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,200.0,0.0,205.0,70.0,17513000000.0,1.9111,Non-Aligned,Africa,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Tanzania.svg/25px-Flag_of_Tanzania.svg.png,250.0,2.06e-05,0.00598,89,88
Somalia,13017273.0,26770000000.0,870000000.0,2993973.0,30000.0,0.0,550.0,29150.0,500.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,2563000000.0,3.7393,Non-Aligned,Africa,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Somalia.svg/25px-Flag_of_Somalia.svg.png,25.0,8.4e-06,0.0325,137,136
North Macedonia,2135622.0,43844000000.0,421527100.0,948216.0,10010.0,60000.0,950.0,70011.0,0.0,20.0,0.0,0.0,0.0,10.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,18.0,5637000000.0,2.4956,NATO,Europe,Southern Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_North_Macedonia.svg/25px-Flag_of_North_Macedonia.svg.png,20.0,2.11e-05,0.00961,114,113
Zimbabwe,17150352.0,57391000000.0,1976800000.0,6517134.0,29000.0,0.0,5000.0,25000.0,0.0,80.0,9.0,9.0,14.0,28.0,0.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,6671000000.0,2.2801,Non-Aligned,Africa,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Zimbabwe.svg/25px-Flag_of_Zimbabwe.svg.png,140.0,2.15e-05,0.03444,105,104
Central African Republic,5650957.0,5926000000.0,300000000.0,2203873.0,30000.0,0.0,100.0,30000.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,724179000.0,4.2381,Non-Aligned,Africa,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Central_African_Republic.svg/25px-Flag_of_Central_African_Republic.svg.png,8.0,3.6e-06,0.05062,143,142
Kuwait,3138355.0,225947000000.0,7987000000.0,1726095.0,78000.0,24000.0,2500.0,103000.0,4000.0,133.0,0.0,47.0,2.0,68.0,0.0,13.0,16.0,3.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,367.0,51.0,0.0,27.0,60500000000.0,1.7161,Non-Aligned,Middle East,Western Asia (Middle East),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Kuwait.svg/25px-Flag_of_Kuwait.svg.png,623.0,0.0003609,0.03535,76,75
Mozambique,33350954.0,51786000000.0,480000000.0,14674420.0,11200.0,0.0,4000.0,11200.0,1000.0,23.0,2.0,8.0,5.0,7.0,0.0,1.0,2.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,60.0,0.0,104.0,12.0,8274000000.0,1.9769,Non-Aligned,Africa,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Mozambique.svg/25px-Flag_of_Mozambique.svg.png,119.0,8.1e-06,0.00927,92,91
Slovakia,5563649.0,218762000000.0,2900000000.0,2837461.0,20982.0,0.0,3200.0,18282.0,0.0,48.0,0.0,7.0,7.0,22.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,35.0,9.0,25.0,140360000000.0,1.3911,NATO,Other,Other Subregion,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Slovakia.svg/25px-Flag_of_Slovakia.svg.png,93.0,3.28e-05,0.01326,69,68
Ukraine,35661826.0,577583000000.0,45000000000.0,18187531.0,900000.0,4000000.0,35000.0,250000.0,11000.0,347.0,30.0,88.0,22.0,140.0,5.0,72.0,39.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,5.0,1121.0,682.0,625.0,288.0,90003000000.0,0.3691,Non-Aligned,Europe,Eastern Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Ukraine.svg/25px-Flag_of_Ukraine.svg.png,1637.0,9e-05,0.07791,20,19
Cameroon,30966105.0,143264000000.0,835694942.0,10528476.0,38000.0,0.0,420.0,47000.0,1000.0,35.0,0.0,0.0,6.0,21.0,2.0,6.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,18.0,52.0,20.0,11112000000.0,2.1689,Non-Aligned,Africa,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Cameroon.svg/25px-Flag_of_Cameroon.svg.png,54.0,5.1e-06,0.00583,99,98
United Kingdom,68459055.0,3636000000000.0,88526529585.0,31491165.0,141330.0,31940.0,34800.0,108413.0,37890.0,625.0,38.0,103.0,30.0,262.0,29.0,201.0,50.0,9.0,116.0,2.0,0.0,6.0,7.0,0.0,10.0,26.0,8.0,288.0,14.0,126.0,43.0,10553123900000.0,0.1881,NATO,Europe,Northern Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_United_Kingdom.svg/25px-Flag_of_United_Kingdom.svg.png,1029.0,3.27e-05,0.02435,8,7
El Salvador,6628702.0,73961000000.0,1037200000.0,3181777.0,25000.0,0.0,2000.0,20500.0,2000.0,51.0,15.0,0.0,3.0,28.0,0.0,10.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,76.0,0.0,12668000000.0,2.9973,Non-Aligned,Americas,Central America,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_El_Salvador.svg/25px-Flag_of_El_Salvador.svg.png,64.0,2.01e-05,0.01402,129,128
Montenegro,599849.0,17375000000.0,204000000.0,143964.0,2350.0,0.0,480.0,1500.0,550.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,12.0,12.0,3643000000.0,2.9782,NATO,Europe,Southern Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Montenegro.svg/25px-Flag_of_Montenegro.svg.png,30.0,0.0002084,0.01174,128,127
Mexico,130739927.0,2883000000000.0,9100000000.0,61447766.0,387000.0,98653.0,30515.0,275443.0,92043.0,424.0,32.0,2.0,40.0,173.0,25.0,175.0,0.0,0.0,164.0,0.0,0.0,0.0,1.0,3.0,0.0,142.0,0.0,0.0,35.0,0.0,0.0,306308000000.0,0.6401,Non-Aligned,Americas,Central America,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Mexico.svg/25px-Flag_of_Mexico.svg.png,588.0,9.6e-06,0.00316,36,35
Ireland,5233461.0,620544000000.0,1754400500.0,2407392.0,7557.0,1720.0,690.0,7705.0,800.0,23.0,0.0,0.0,5.0,8.0,2.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,3630000000000.0,2.0661,Non-Aligned,Europe,Northern Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Ireland.svg/25px-Flag_of_Ireland.svg.png,31.0,1.29e-05,0.00283,94,93
Poland,38746310.0,1649000000000.0,55865141600.0,18985692.0,250000.0,350000.0,16500.0,110000.0,8240.0,457.0,12.0,58.0,44.0,224.0,11.0,112.0,29.0,0.0,63.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,29.0,798.0,593.0,0.0,298.0,425641700000.0,0.3891,NATO,Europe,Eastern Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Poland.svg/25px-Flag_of_Poland.svg.png,1318.0,6.94e-05,0.03388,21,20
Senegal,18847519.0,83183000000.0,777800000.0,7162057.0,17000.0,0.0,1000.0,15460.0,500.0,39.0,0.0,0.0,5.0,19.0,1.0,22.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,20.0,6.0,14985000000.0,2.8925,Non-Aligned,Africa,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Senegal.svg/25px-Flag_of_Senegal.svg.png,43.0,6e-06,0.00935,126,125
Belarus,9501451.0,265220000000.0,1034784000.0,5035769.0,63000.0,365400.0,11300.0,18000.0,0.0,194.0,50.0,43.0,4.0,70.0,0.0,27.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577.0,357.0,190.0,206.0,18010000000.0,1.4072,Non-Aligned,Europe,Eastern Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Belarus.svg/25px-Flag_of_Belarus.svg.png,771.0,0.0001531,0.0039,70,69
Bosnia And Herzegovina,3798671.0,64641000000.0,289920000.0,2355176.0,18000.0,8000.0,2100.0,26000.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,300.0,24.0,5359000000.0,3.1291,Non-Aligned,Europe,Southern Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Bosnia_And_Herzegovina.svg/25px-Flag_of_Bosnia_And_Herzegovina.svg.png,60.0,2.55e-05,0.00449,133,132
Iceland,364036.0,26561000000.0,500000000.0,83728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24200000000.0,3.4013,NATO,Europe,Northern Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Iceland.svg/25px-Flag_of_Iceland.svg.png,0.0,0.0,0.01882,134,133
Kazakhstan,20260006.0,739385000000.0,5836386000.0,9117003.0,110000.0,135000.0,12000.0,80000.0,3000.0,168.0,13.0,37.0,21.0,72.0,0.0,25.0,12.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,353.0,126.0,194.0,287.0,25765000000.0,1.0433,Non-Aligned,Asia,Central Asia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Kazakhstan.svg/25px-Flag_of_Kazakhstan.svg.png,547.0,6e-05,0.00789,58,57
North Korea,26298666.0,15416000000.0,4750000000.0,9467520.0,1320000.0,560000.0,110000.0,1370000.0,60000.0,837.0,114.0,341.0,1.0,205.0,0.0,176.0,20.0,0.0,332.0,0.0,0.0,2.0,2.0,8.0,24.0,227.0,1.0,4895.0,1300.0,700.0,1500.0,6050000000.0,0.5933,Non-Aligned,Asia,Eastern Asia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_North_Korea.svg/25px-Flag_of_North_Korea.svg.png,6064.0,0.0006405,0.30812,31,30
Latvia,1801246.0,72516000000.0,42000000.0,810561.0,17870.0,38000.0,250.0,55870.0,1000.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,0.0,47.0,0.0,0.0,48598440000.0,2.2316,NATO,Europe,Northern Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Latvia.svg/25px-Flag_of_Latvia.svg.png,21.0,2.59e-05,0.00058,102,101
Eritrea,6343956.0,2534000000.0,219000000.0,2220385.0,350000.0,680000.0,250.0,275000.0,1100.0,20.0,0.0,1.0,5.0,13.0,0.0,1.0,6.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,148.0,45.0,89.0,44.0,461376000.0,2.6841,Non-Aligned,Africa,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Eritrea.svg/25px-Flag_of_Eritrea.svg.png,191.0,8.6e-05,0.08642,119,118
Azerbaijan,10650239.0,225198000000.0,5100000000.0,5218617.0,128000.0,306000.0,15000.0,110000.0,3000.0,159.0,20.0,12.0,4.0,87.0,0.0,36.0,16.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,4.0,1354.0,135.0,651.0,696.0,12378000000.0,1.1991,Non-Aligned,Middle East,Western Asia (Middle East),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Azerbaijan.svg/25px-Flag_of_Azerbaijan.svg.png,1545.0,0.0002961,0.02265,60,59
Bhutan,884546.0,11517000000.0,26600000.0,203446.0,16000.0,50000.0,0.0,66000.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2827000000.0,5.7991,Non-Aligned,Asia,Southern Asia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Bhutan.svg/25px-Flag_of_Bhutan.svg.png,2.0,9.8e-06,0.00231,145,144
