country,total_population,gdp,defense_budget,total_manpower,active_personnel,reserve_personnel,air_force_personnel,army_personnel,navy_personnel,total_aircraft,attack_aircraft,fighter_aircraft,transport_aircraft,helicopters,special_mission_aircraft,trainer_aircraft,attack_helicopters,tanker_aircraft,naval_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessel,mine_warfare,tanks,self_propelled_artillery,towed_artillery,rocket_artillery,external_debt,power_index,alliance_flag,continent,region,flag_image_url,total_military_hardware,assets_per_capita,budget_gdp_ratio,rank,power_index_rank_gap
Zambia,20799116.0,79207000000.0,385321000.0,7279691.0,15150.0,0.0,3745.0,13250.0,0.0,78.0,0.0,0.0,13.0,33.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,12.0,60.0,50.0,16597000000.0,2.4461,Non-Aligned,Africa,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Zambia.svg/25px-Flag_of_Zambia.svg.png,153.0,2.1e-05,0.00486,111,110
Turkmenistan,5744151.0,134555000000.0,1463000000.0,2768681.0,36500.0,0.0,3000.0,42760.0,2000.0,91.0,27.0,22.0,5.0,26.0,0.0,11.0,10.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,654.0,73.0,457.0,164.0,3696000000.0,1.7459,Non-Aligned,Asia,Central Asia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Turkmenistan.svg/25px-Flag_of_Turkmenistan.svg.png,761.0,0.0002749,0.01087,78,77
Spain,47280433.0,2361000000000.0,39000676350.0,21748999.0,121802.0,24033.0,23000.0,85978.0,20840.0,440.0,12.0,136.0,51.0,169.0,8.0,108.0,17.0,0.0,175.0,1.0,0.0,0.0,11.0,0.0,2.0,112.0,6.0,298.0,96.0,188.0,0.0,2830012130000.0,0.3247,NATO,Europe,Southern Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Spain.svg/25px-Flag_of_Spain.svg.png,913.0,4.2e-05,0.01652,18,17
Ivory Coast,29981758.0,215018000000.0,18200000.0,12292521.0,22000.0,0.0,460.0,22000.0,1000.0,22.0,0.0,0.0,3.0,14.0,3.0,2.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,6.0,26576000000.0,2.3884,Non-Aligned,Africa,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Ivory_Coast.svg/25px-Flag_of_Ivory_Coast.svg.png,30.0,2.4e-06,8e-05,108,107
Turkey,84119531.0,3018000000000.0,51400000000.0,42985080.0,481000.0,380000.0,52850.0,401500.0,100000.0,1101.0,0.0,201.0,84.0,509.0,27.0,301.0,111.0,7.0,192.0,0.0,1.0,0.0,17.0,9.0,14.0,40.0,11.0,2284.0,1045.0,635.0,237.0,149654000000.0,0.1975,Non-Aligned,Other,Other Subregion,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Turkey.svg/25px-Flag_of_Turkey.svg.png,3577.0,8.32e-05,0.01703,9,8
Jordan,11174024.0,109986000000.0,2668500000.0,3463947.0,114500.0,100000.0,14000.0,146000.0,5500.0,279.0,10.0,44.0,12.0,159.0,11.0,66.0,44.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,1508.0,478.0,80.0,84.0,21058000000.0,1.5581,Non-Aligned,Middle East,Western Asia (Middle East),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Jordan.svg/25px-Flag_of_Jordan.svg.png,1814.0,0.0005237,0.02426,74,73
Laos,7953556.0,66905000000.0,355600000.0,3499565.0,100000.0,30000.0,500.0,130000.0,2000.0,29.0,0.0,0.0,2.0,20.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,50.0,97.0,64.0,9619000000.0,2.8672,Non-Aligned,Asia,South-East Asia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Laos.svg/25px-Flag_of_Laos.svg.png,189.0,5.4e-05,0.00531,125,124
Belgium,11977634.0,749229000000.0,14900000000.0,4910830.0,26390.0,6600.0,5700.0,11547.0,1355.0,104.0,12.0,44.0,7.0,14.0,0.0,27.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,1594190730000.0,1.2201,NATO,Europe,Western Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Belgium.svg/25px-Flag_of_Belgium.svg.png,113.0,2.3e-05,0.01989,61,60
Switzerland,8860574.0,741035000000.0,8372658426.0,3898653.0,147178.0,0.0,20000.0,127178.0,0.0,141.0,0.0,40.0,16.0,39.0,3.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,133.0,0.0,0.0,2420000000000.0,0.8396,Non-Aligned,Europe,Western Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Switzerland.svg/25px-Flag_of_Switzerland.svg.png,275.0,7.05e-05,0.0113,46,45
Nepal,31122387.0,149643000000.0,431355326.0,15249970.0,98500.0,82000.0,1000.0,97500.0,0.0,17.0,0.0,0.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,5719000000.0,2.8037,Non-Aligned,Asia,Southern Asia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Nepal.svg/25px-Flag_of_Nepal.svg.png,17.0,1.1e-06,0.00288,124,123
Bahrain,1566888.0,93937000000.0,997015509.0,846120.0,18400.0,110000.0,1500.0,130000.0,700.0,137.0,0.0,28.0,3.0,66.0,0.0,40.0,34.0,0.0,64.0,0.0,0.0,0.0,2.0,2.0,0.0,50.0,0.0,150.0,38.0,26.0,18.0,54450000000.0,1.6731,Non-Aligned,Middle East,Western Asia (Middle East),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Bahrain.svg/25px-Flag_of_Bahrain.svg.png,351.0,0.0004148,0.01061,75,74
Slovenia,2097893.0,103118000000.0,1782000000.0,1006989.0,7000.0,26000.0,615.0,32035.0,350.0,40.0,0.0,0.0,5.0,16.0,0.0,23.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,54.0,17.0,18.0,0.0,60500000000.0,1.9404,NATO,Europe,Southern Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Slovenia.svg/25px-Flag_of_Slovenia.svg.png,97.0,9.63e-05,0.01728,91,90
Venezuela,31250306.0,110943000000.0,6060000000.0,15625153.0,109000.0,8000.0,10755.0,300745.0,25500.0,224.0,0.0,30.0,47.0,85.0,3.0,75.0,10.0,1.0,41.0,0.0,0.0,0.0,1.0,0.0,3.0,26.0,0.0,282.0,60.0,92.0,56.0,121363000000.0,0.9106,Non-Aligned,Americas,South America,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Venezuela.svg/25px-Flag_of_Venezuela.svg.png,547.0,3.5e-05,0.05462,51,50
Uruguay,3425330.0,108502000000.0,1903440000.0,1575652.0,24000.0,0.0,2850.0,15450.0,5700.0,43.0,6.0,0.0,6.0,12.0,5.0,12.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,62.0,16.0,83.0,4.0,54450000000.0,2.1537,Non-Aligned,Americas,South America,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Uruguay.svg/25px-Flag_of_Uruguay.svg.png,121.0,7.68e-05,0.01754,97,96
Norway,5509733.0,507680000000.0,11189483200.0,2203893.0,33440.0,20100.0,3650.0,8735.0,4010.0,109.0,43.0,0.0,4.0,34.0,5.0,23.0,0.0,0.0,48.0,0.0,0.0,0.0,4.0,6.0,6.0,20.0,5.0,36.0,28.0,0.0,0.0,787758400000.0,0.6679,NATO,Europe,Northern Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Norway.svg/25px-Flag_of_Norway.svg.png,193.0,8.76e-05,0.02204,39,38
Afghanistan,40121552.0,82238000000.0,145000000.0,15647405.0,75000.0,0.0,0.0,165000.0,0.0,5.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1929750000.0,2.7342,Non-Aligned,Asia,Southern Asia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Afghanistan.svg/25px-Flag_of_Afghanistan.svg.png,5.0,3e-07,0.00176,121,120
Bulgaria,6782659.0,219645000000.0,2485350000.0,3187850.0,36950.0,3000.0,8500.0,39950.0,4450.0,71.0,5.0,11.0,6.0,23.0,0.0,26.0,4.0,0.0,45.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,17.0,334.0,48.0,24.0,24.0,14277000000.0,1.2522,NATO,Europe,Eastern Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Bulgaria.svg/25px-Flag_of_Bulgaria.svg.png,450.0,0.0001412,0.01132,62,61
Kyrgyzstan,6172101.0,50907000000.0,654000000.0,3147772.0,23000.0,0.0,500.0,20000.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,30.0,174.0,21.0,3617000000.0,2.3969,Non-Aligned,Asia,Central Asia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Kyrgyzstan.svg/25px-Flag_of_Kyrgyzstan.svg.png,222.0,7.05e-05,0.01285,109,108
Luxembourg,671254.0,86871000000.0,1530685000.0,154388.0,1200.0,0.0,0.0,1200.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5203000000000.0,2.4429,NATO,Europe,Western Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Luxembourg.svg/25px-Flag_of_Luxembourg.svg.png,1.0,6.5e-06,0.01762,110,109
Nigeria,236747130.0,1318000000000.0,3900000000.0,125475979.0,230000.0,0.0,18000.0,1960000.0,11000.0,159.0,24.0,14.0,12.0,69.0,12.0,28.0,15.0,0.0,152.0,0.0,0.0,0.0,1.0,0.0,0.0,132.0,2.0,330.0,40.0,339.0,37.0,45009000000.0,0.6097,Non-Aligned,Africa,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Nigeria.svg/25px-Flag_of_Nigeria.svg.png,641.0,5.1e-06,0.00296,33,32
Pakistan,252363571.0,1390000000000.0,9102115350.0,108516336.0,660000.0,550000.0,78000.0,1311500.0,57500.0,1397.0,90.0,331.0,63.0,379.0,27.0,563.0,55.0,4.0,120.0,0.0,0.0,0.0,9.0,6.0,8.0,79.0,3.0,2677.0,662.0,2629.0,652.0,89148000000.0,0.2626,Non-Aligned,Asia,Southern Asia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Pakistan.svg/25px-Flag_of_Pakistan.svg.png,4194.0,3.86e-05,0.00655,14,13
Myanmar,57527139.0,287559000000.0,2815031361.0,30489384.0,228000.0,19000.0,25000.0,255000.0,30000.0,331.0,20.0,70.0,33.0,86.0,5.0,120.0,9.0,0.0,239.0,0.0,0.0,0.0,6.0,3.0,3.0,146.0,2.0,1040.0,225.0,1680.0,1520.0,8748000000.0,0.6265,Non-Aligned,Asia,South-East Asia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Myanmar.svg/25px-Flag_of_Myanmar.svg.png,1610.0,5.28e-05,0.00979,35,34
