country,rank,power_index,active_personnel,reserve_personnel,paramilitary,fit_for_service,military_age_annually,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,defense_budget_usd,gdp_ppp_usd,forex_reserves_usd,external_debt_usd
Tajikistan,100,2.1749,150000,600000,20000,3773045,176699,25,0,0,1,4,0,0,20,6,38,6782,3,13,24,0,121180.0,0,0,0,0,0,0,0,450460000.0,50370000000.0,3026450000.0,3024000000.0
Armenia,101,2.2016,65000,210000,5000,1366335,44651,69,4,14,3,12,0,0,36,20,109,1412,104,193,100,0,121180.0,0,0,0,0,0,0,0,1480000000.0,60909000000.0,3685000000.0,6002000000.0
Latvia,102,2.2316,17870,38000,12500,648449,16211,3,0,0,0,0,0,0,3,0,0,3410,47,0,0,18,121180.0,0,0,0,0,0,0,11,42000000.0,72516000000.0,5141000000.0,48598440000.0
Honduras,103,2.2575,52225,0,23000,3144632,95292,45,6,7,10,10,1,0,11,0,22,4666,0,48,0,98,121180.0,0,0,0,0,0,0,93,612300000.0,71297000000.0,8036000000.0,7785000000.0
Mali,104,2.2598,40000,0,4800,4288168,351850,44,9,12,8,4,1,0,10,8,0,3717,0,50,30,0,121180.0,0,0,0,0,0,0,0,1110000000.0,71253000000.0,647800000.0,4085000000.0
Zimbabwe,105,2.2801,29000,0,21800,3721626,360157,80,9,9,14,20,0,0,28,6,60,1248,0,0,0,0,121180.0,0,0,0,0,0,0,0,1976800000.0,57391000000.0,484973000.0,6671000000.0
Estonia,106,2.3201,7700,230000,10000,456028,13132,2,0,0,2,0,0,0,0,0,0,2579,48,0,6,8,121180.0,0,0,0,0,0,0,4,2375000000.0,57001000000.0,2075000000.0,29040000000.0
Uganda,107,2.3252,45000,0,10000,9905891,985661,51,6,0,3,12,0,0,30,6,259,9702,6,26,12,0,121180.0,0,0,0,0,0,0,0,1510000000.0,144137000000.0,3432750000.0,10469000000.0
Ivory Coast,108,2.3884,22000,0,5500,7855221,569653,22,0,0,3,2,3,0,14,5,0,1328,0,4,6,8,121180.0,0,0,0,0,0,0,7,18200000.0,215018000000.0,7583484000.0,26576000000.0
Kyrgyzstan,109,2.3969,23000,0,55000,2487357,117270,7,0,0,0,0,0,0,7,2,215,5372,30,174,21,0,121180.0,0,0,0,0,0,0,0,654000000.0,50907000000.0,5089000000.0,3617000000.0
Luxembourg,110,2.4429,1200,0,0,92633,3356,1,0,0,1,0,0,0,0,0,0,476,0,0,0,0,121180.0,0,0,0,0,0,0,0,1530685000.0,86871000000.0,2789000000.0,5203000000000.0
Zambia,111,2.4461,15150,0,1200,4139024,374384,78,0,0,13,34,0,0,33,0,75,848,12,60,50,0,121180.0,0,0,0,0,0,0,0,385321000.0,79207000000.0,3017000000.0,16597000000.0
Ghana,112,2.4566,15500,0,0,9961658,622604,18,0,0,2,5,2,0,9,0,0,3648,0,6,6,20,121180.0,0,0,0,0,0,0,20,954423756.0,243124000000.0,3624000000.0,29241000000.0
South Sudan,113,2.4645,185000,0,0,4065188,330297,19,0,0,4,0,0,0,15,6,122,2550,24,0,15,0,121180.0,0,0,0,0,0,0,0,30700000.0,6752000000.0,128248000.0,2722500000.0
North Macedonia,114,2.4956,10010,60000,3500,783773,27763,20,0,0,0,10,0,0,10,4,0,1878,0,156,18,0,121180.0,0,0,0,0,0,0,0,421527100.0,43844000000.0,5252000000.0,5637000000.0
Dominican Republic,115,2.5853,89000,189000,30000,4034315,97343,80,0,8,11,17,1,0,49,0,6,930,0,14,0,34,121180.0,0,0,0,0,0,0,14,903000000.0,276884000000.0,13471000000.0,35044000000.0
Nicaragua,116,2.5894,45000,0,5500,2777610,146893,17,0,0,5,1,0,0,12,0,186,6344,0,347,151,23,121180.0,0,0,0,0,0,0,23,1311600000.0,52989000000.0,6105000000.0,6753000000.0
Republic of the Congo,117,2.6259,10000,0,2500,1353682,115856,14,2,0,4,0,0,0,8,1,61,804,3,38,30,4,121180.0,0,0,0,0,0,0,0,933360000.0,39147000000.0,715391000.0,6360000000.0
Lebanon,118,2.6521,80000,15000,65000,1775644,69738,80,0,9,0,9,0,0,68,0,334,6912,12,350,11,48,121180.0,0,0,0,0,0,0,42,800000000.0,65415000000.0,33301000000.0,41619000000.0
Eritrea,119,2.6841,350000,680000,0,1598677,76127,20,1,0,5,1,0,0,13,6,148,1040,45,89,44,23,121180.0,0,0,0,0,0,0,18,219000000.0,2534000000.0,191694000.0,461376000.0
Niger,120,2.6867,25000,0,5000,5294900,447827,26,0,2,7,0,2,0,13,2,0,1550,0,0,0,0,121180.0,0,0,0,0,0,0,0,488400000.0,47921000000.0,1442772000.0,3793000000.0
Afghanistan,121,2.7342,75000,0,90000,8826741,842553,5,0,0,2,0,0,0,3,0,0,3902,0,0,0,0,121180.0,0,0,0,0,0,0,0,145000000.0,82238000000.0,8852092000.0,1929750000.0
Namibia,122,2.7414,17567,0,5000,400923,30840,36,11,0,5,13,0,0,7,2,7,2402,0,50,55,15,121180.0,0,0,0,0,0,2,15,450498000.0,31154000000.0,3356000000.0,9680000000.0
Mauritania,123,2.7919,31540,66000,5000,1181555,82233,23,0,4,7,6,2,0,4,0,51,5024,0,75,0,6,121180.0,0,0,0,0,0,0,6,270625000.0,33069000000.0,2039000000.0,3072000000.0
Nepal,124,2.8037,98500,82000,15000,11733140,778060,17,0,0,7,0,0,0,10,0,0,1108,0,14,0,0,121180.0,0,0,0,0,0,0,0,431355326.0,149643000000.0,12456000000.0,5719000000.0
Laos,125,2.8672,100000,30000,120000,2521277,159071,29,0,0,2,7,0,0,20,0,160,7725,50,97,64,51,121180.0,0,0,0,0,0,0,47,355600000.0,66905000000.0,1770000000.0,9619000000.0
Senegal,126,2.8925,17000,0,0,4089912,395798,39,0,0,5,22,1,0,19,5,0,1860,0,20,6,4,121180.0,0,0,0,0,0,0,4,777800000.0,83183000000.0,889295000.0,14985000000.0
Burkina Faso,127,2.9213,7500,0,4500,6060098,368675,26,0,3,2,0,2,0,19,5,0,876,0,8,9,0,121180.0,0,0,0,0,0,0,0,4590000000.0,60001000000.0,47138000.0,3565000000.0
Montenegro,128,2.9782,2350,0,5500,85179,3599,10,0,0,0,0,0,0,10,0,0,946,0,12,12,20,121180.0,0,0,0,0,0,0,14,204000000.0,17375000000.0,1741000000.0,3643000000.0
El Salvador,129,2.9973,25000,0,15000,2512278,145831,51,0,15,3,10,0,0,28,0,0,2144,0,76,0,13,121180.0,0,0,0,0,0,0,8,1037200000.0,73961000000.0,3705000000.0,12668000000.0
Botswana,130,2.9993,12000,0,0,617568,24507,45,10,0,9,10,0,0,16,0,45,1224,12,36,20,0,121180.0,0,0,0,0,0,0,0,581000000.0,45553000000.0,3456000000.0,1761000000.0
Madagascar,131,3.0381,13500,0,8100,7952233,559602,6,0,0,1,0,0,0,5,0,12,316,0,17,0,7,121180.0,0,0,0,0,0,0,5,147630000.0,52968000000.0,2785000000.0,3548000000.0
Gabon,132,3.0432,5000,0,2500,532758,46647,25,6,0,3,0,0,0,16,0,0,424,0,4,28,5,121180.0,0,0,0,0,0,0,4,340950000.0,48045000000.0,1447000000.0,6442000000.0
Bosnia and Herzegovina,133,3.1291,18000,8000,0,1956316,49383,15,0,0,0,0,0,0,15,0,45,892,0,300,24,0,121180.0,0,0,0,0,0,0,0,289920000.0,64641000000.0,9419000000.0,5359000000.0
Iceland,134,3.4013,0,0,0,50237,1820,0,0,0,0,0,0,0,0,0,0,350,0,0,0,0,121180.0,0,0,0,0,0,0,0,500000000.0,26561000000.0,6403000000.0,24200000000.0
Panama,135,3.5011,16300,0,80000,1206965,53643,38,0,0,13,0,2,0,23,0,0,1550,0,0,0,22,121180.0,0,0,0,0,0,0,14,1069750000.0,164484000000.0,6856000000.0,1227090000000.0
Moldova,136,3.6225,6500,2000,2000,1792565,71991,3,0,0,1,0,0,0,2,0,0,1598,4,67,11,0,121180.0,0,0,0,0,0,0,0,114114000.0,39342000000.0,5848000000.0,2637000000.0
Somalia,137,3.7393,30000,0,2000,1796384,130173,6,0,0,0,0,0,0,6,0,0,1104,0,0,0,19,121180.0,0,0,0,0,0,0,19,870000000.0,26770000000.0,16747500.0,2563000000.0
Benin,138,3.8963,4750,0,0,3189260,308638,7,0,0,1,0,1,0,5,0,0,92,0,16,0,2,121180.0,0,0,0,0,0,0,2,137690000.0,56424000000.0,698900000.0,6309000000.0
Kosovo,139,3.8041,4000,5000,500,743387,17794,0,0,0,0,0,0,0,0,0,0,1357,0,0,0,0,121180.0,0,0,0,0,0,0,0,1177450000.0,25019000000.0,1310000000.0,785739000.0
Sierra Leone,140,3.9201,13000,0,0,1203978,45605,1,0,0,0,0,0,0,1,0,0,350,0,0,0,10,121180.0,0,0,0,0,0,0,10,450000000.0,26728000000.0,495699000.0,1451000000.0
Liberia,141,3.9275,2100,0,5500,1913912,65247,0,0,0,0,0,0,0,0,0,0,550,0,0,0,6,121180.0,0,0,0,0,0,0,6,20700000.0,9308000000.0,599660000.0,1335000000.0
Suriname,142,4.0538,2500,0,200,84079,3234,3,0,0,0,0,0,0,3,0,0,1250,0,0,0,17,121180.0,0,0,0,0,0,0,17,58440000.0,12316000000.0,1632000000.0,2645000000.0
Central African Republic,143,4.2381,30000,0,1000,1254512,101717,8,0,8,0,0,0,0,0,0,0,270,0,0,0,0,121180.0,0,0,0,0,0,0,0,300000000.0,5926000000.0,374405000.0,724179000.0
Beliz,144,4.3602,2000,850,0,90226,8732,3,0,0,1,0,1,0,1,0,0,164,0,0,0,15,121180.0,0,0,0,0,0,0,15,34400000.0,5538000000.0,498087000.0,1235000000.0
Bhutan,145,5.7991,16000,50000,0,122067,4423,2,0,0,0,0,0,0,2,0,0,78,0,0,0,0,121180.0,0,0,0,0,0,0,0,26600000.0,11517000000.0,941018000.0,2827000000.0
