country,total_population,gdp,defense_budget,total_manpower,active_personnel,reserve_personnel,air_force_personnel,army_personnel,navy_personnel,total_aircraft,attack_aircraft,fighter_aircraft,transport_aircraft,helicopters,special_mission_aircraft,trainer_aircraft,attack_helicopters,tanker_aircraft,naval_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessel,mine_warfare,tanks,self_propelled_artillery,towed_artillery,rocket_artillery,external_debt,power_index
New Zealand,5161211,257117000000.0,2455949332.0,2219321,10050,3300,2875,6345,2873,47,0,0,7,21,6,13,0,0,8,0,0,0,2,0,0,4,0,0,0,0,0,230651000000.0,1.9258
Luxembourg,671254,86871000000.0,1530685000.0,154388,1200,0,0,1200,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5203000000000.0,2.4429
Spain,47280433,2361000000000.0,39000676350.0,21748999,121802,24033,23000,85978,20840,440,12,136,51,169,8,108,17,0,175,1,0,0,11,0,2,112,6,0,0,0,0,2830010000000.0,0.3247
Afghanistan,40121552,82238000000.0,145000000.0,15647405,75000,0,0,165000,0,5,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1929750000.0,2.7342
Russia,140820810,6089000000000.0,212638000000.0,69002197,1320000,2000000,203376,600000,160000,4237,698,861,458,1643,137,530,556,18,747,1,0,13,12,79,66,70,45,0,0,0,0,226476000000.0,0.0791
Slovenia,2097893,103118000000.0,1782000000.0,1006989,7000,26000,615,32035,350,40,0,0,5,16,0,23,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,60500000000.0,1.9404
Ukraine,35661826,577583000000.0,45000000000.0,18187531,900000,4000000,35000,250000,11000,347,30,88,22,140,5,72,39,0,169,0,0,0,0,0,0,133,5,0,0,0,0,90003000000.0,0.3691
Sierra Leone,9121049,26728000000.0,450000000.0,2006631,13000,0,175,12575,250,1,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,1451000000.0,3.9201
Bangladesh,168697184,1473000000000.0,3340000000.0,82661620,204000,0,19000,173408,22000,212,0,41,17,67,4,83,0,0,121,0,0,0,7,6,2,61,5,0,0,0,0,58020000000.0,0.6517
Romania,18148155,774376000000.0,10230630000.0,9437041,90000,55000,11700,39250,6800,148,0,29,13,66,2,44,0,0,18,0,0,0,3,7,0,0,7,0,0,0,0,145200000000.0,0.9558
Denmark,5973136,440558000000.0,14250000000.0,2628180,21000,12000,3475,88400,3600,122,19,26,4,34,3,36,0,0,50,0,0,0,9,0,0,9,6,0,0,0,0,611050000000.0,0.8198
Nepal,31122387,149643000000.0,431355326.0,15249970,98500,82000,1000,97500,0,17,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5719000000.0,2.8037
Kuwait,3138355,225947000000.0,7987000000.0,1726095,78000,24000,2500,103000,4000,133,0,47,2,68,0,13,16,3,123,0,0,0,0,0,0,106,0,0,0,0,0,60500000000.0,1.7161
Niger,26342784,47921000000.0,488400000.0,7902835,25000,0,1250,10000,0,26,2,0,7,13,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3793000000.0,2.6867
South Korea,52081799,2607000000000.0,44800000000.0,26040900,450000,3100000,65000,365000,70000,1540,98,242,40,827,35,335,113,4,215,0,2,14,18,3,22,96,14,0,0,0,0,553871000000.0,0.1642
