country,power_index,total_population,gdp,defense_budget,external_debt,total_manpower,active_personnel,reserve_personnel,total_aircraft,fighter_aircraft,trainer_aircraft,special_mission_aircraft,helicopters,attack_helicopters,tanks_stock,tanks_readiness,self_propelled_artillery_stock,self_propelled_artillery_readiness,towed_artillery_stock,towed_artillery_readiness,naval_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessel,mine_warfare
Turkiye,0.1975,"84,119,531","$3,018,000,000,000","$51,400,000,000","$149,654,000,000","42,985,080","481,000","380,000","1,101",201,301,27,509,111,"2,284","1,599","1,045",732,635,445,192,0,1,0,17,9,14,40,11
Turkmenistan,1.7459,"5,744,151","$134,555,000,000","$1,463,000,000","$3,696,000,000","2,768,681","36,500",0,91,22,11,0,26,10,654,392,73,44,457,274,16,0,0,0,0,0,0,16,0
Uganda,2.3252,"49,283,041","$144,137,000,000","$1,510,000,000","$10,469,000,000","16,756,234","45,000",0,51,6,12,0,30,6,259,142,6,3,26,14,,,,,,,,,
Ukraine,0.3691,"35,661,826","$577,583,000,000","$45,000,000,000","$90,003,000,000","18,187,531","900,000","4,000,000",347,88,72,5,140,39,"1,121",729,682,443,625,406,169,0,0,0,0,0,0,133,5
United Arab Emirates,1.0188,"10,032,213","$745,994,000,000","$23,480,000,000","$290,400,000,000","5,818,684","65,000","130,000",581,99,151,27,250,30,354,212,165,99,99,59,84,0,0,0,0,11,0,34,2
United Kingdom,0.1881,"68,459,055","$3,636,000,000,000","$88,526,529,585","$10,553,123,900,000","31,491,165","141,330","31,940",625,103,201,29,262,50,288,187,14,9,126,82,116,2,0,6,7,0,10,26,8
United States,0.0741,"341,963,408","$25,676,000,000,000","$831,500,000,000","$24,538,900,710,000","150,463,900","1,333,030","799,500","13,032","1,791","2,610",611,"5,913","1,024","4,666","3,500","1,521","1,141","1,878","1,409",465,11,9,83,0,27,66,0,4
Uruguay,2.1537,"3,425,330","$108,502,000,000","$1,903,440,000","$54,450,000,000","1,575,652","24,000",0,43,0,12,5,12,0,62,37,16,10,83,50,16,0,0,0,0,0,0,5,2
Uzbekistan,0.9908,"36,520,593","$379,989,000,000","$6,210,000,000","$25,714,000,000","18,990,708","120,000",0,159,26,7,0,101,34,470,259,177,97,236,130,0,0,0,0,0,0,0,0,0
Venezuela,0.9106,"31,250,306","$110,943,000,000","$6,060,000,000","$121,363,000,000","15,625,153","109,000","8,000",224,30,75,3,85,10,282,169,60,36,92,55,41,0,0,0,1,0,3,26,0
Vietnam,0.4066,"105,758,975","$1,456,000,000,000","$10,200,000,000","$34,426,000,000","54,994,667","450,000","5,000,000",265,61,91,3,101,0,"1,999","1,199",30,18,"3,250","1,950",116,0,0,0,9,17,6,27,8
Yemen,2.1617,"32,140,443","$18,719,000,000","$405,187,500","$6,492,000,000","12,213,368","33,350",0,160,68,30,0,59,14,0,0,12,6,60,30,26,0,0,0,0,1,0,9,0
Zambia,2.4461,"20,799,116","$79,207,000,000","$385,321,000","$16,597,000,000","7,279,691","15,150",0,78,0,34,0,33,0,75,41,12,7,60,33,,,,,,,,,
Zimbabwe,2.2801,"17,150,352","$57,391,000,000","$1,976,800,000","$6,671,000,000","6,517,134","29,000",0,80,9,20,0,28,6,60,33,0,0,0,0,,,,,,,,,
