country,rank,power_index,active_personnel,reserve_personnel,paramilitary,fit_for_service,military_age_annually,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,defense_budget_usd,gdp_ppp_usd,forex_reserves_usd,labour_force,external_debt_usd,total_population,oil_production_bbl,proven_oil_reserves_bbl,natural_gas_production_cum
Gabon,132,PwrIndx: 3.0432,"5,000",0,"2,500","5,32,758","46,647",25,6,0,3,0,0,0,16,0,0,424,0,4,28,5,N/A,0,0,0,0,0,0,4,"$                        							340,950,000","$                        							48,045,000,000","$                        							1,447,000,000","8,24,400","$                        							6,442,000,000","24,55,105","204,000                        						
							bbl","2,000,000,000                        						
							bbl","463,000,000                        						
							Cu.M"
Bosnia and Herzegovina,133,PwrIndx: 3.1291,"18,000","8,000",0,"19,56,316","49,383",15,0,0,0,0,0,0,15,0,45,892,0,300,24,0,N/A,0,0,0,0,0,0,0,"$                        							289,920,000","$                        							64,641,000,000","$                        							9,419,000,000","13,56,000","$                        							5,359,000,000","37,98,671","0                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M"
Iceland,134,PwrIndx: 3.4013,0,0,0,"50,237","1,820",0,0,0,0,0,0,0,0,0,0,350,0,0,0,0,N/A,0,0,0,0,0,0,0,"$                        							500,000,000","$                        							26,561,000,000","$                        							6,403,000,000","2,48,400","$                        							24,200,000,000","3,64,036","0                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M"
Panama,135,PwrIndx: 3.5011,"16,300",0,"80,000","12,06,965","53,643",38,0,0,13,0,2,0,23,0,0,"1,550",0,0,0,22,N/A,0,0,0,0,0,0,14,"$                        							1,069,750,000","$                        							164,484,000,000","$                        							6,856,000,000","22,06,000","$                        							1,227,085,530,000","44,70,241","0                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M"
Moldova,136,PwrIndx: 3.6225,"6,500","2,000","2,000","17,92,565","71,991",3,0,0,1,0,0,0,2,0,0,"1,598",4,67,11,0,N/A,0,0,0,0,0,0,0,"$                        							114,114,000","$                        							39,342,000,000","$                        							5,848,000,000","13,58,000","$                        							2,637,000,000","35,99,528","0                        						
							bbl","0                        						
							bbl","10,000                        						
							Cu.M"
Somalia,137,PwrIndx: 3.7393,"30,000",0,"2,000","17,96,384","1,30,173",6,0,0,0,0,0,0,6,0,0,"1,104",0,0,0,19,N/A,0,0,0,0,0,0,19,"$                        							870,000,000","$                        							26,770,000,000","$                        							16,747,500","34,39,000","$                        							2,563,000,000","1,30,17,273","0                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M"
Benin,138,PwrIndx: 3.8963,"4,750",0,0,"31,89,260","3,08,638",7,0,0,1,0,1,0,5,0,0,92,0,16,0,2,N/A,0,0,0,0,0,0,2,"$                        							137,690,000","$                        							56,424,000,000","$                        							698,900,000","63,97,000","$                        							6,309,000,000","1,46,97,052","0                        						
							bbl","8,000,000                        						
							bbl","0                        						
							Cu.M"
Kosovo,139,PwrIndx: 3.8041,"4,000","5,000",500,"7,43,387","17,794",0,0,0,0,0,0,0,0,0,0,"1,357",0,0,0,0,N/A,0,0,0,0,0,0,0,"$                        							1,177,450,000","$                        							25,019,000,000","$                        							1,310,000,000","5,00,300","$                        							785,739,000","19,77,093","0                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M"
Sierra Leone,140,PwrIndx: 3.9201,"13,000",0,0,"12,03,978","45,605",1,0,0,0,0,0,0,1,0,0,350,0,0,0,10,N/A,0,0,0,0,0,0,10,"$                        							450,000,000","$                        							26,728,000,000","$                        							495,699,000","28,63,000","$                        							1,451,000,000","91,21,049","0                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M"
Liberia,141,PwrIndx: 3.9275,"2,100",0,"5,500","19,13,912","65,247",0,0,0,0,0,0,0,0,0,0,550,0,0,0,6,N/A,0,0,0,0,0,0,6,"$                        							20,700,000","$                        							9,308,000,000","$                        							599,660,000","26,07,000","$                        							1,335,000,000","54,37,249","0                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M"
Suriname,142,PwrIndx: 4.0538,"2,500",0,200,"84,079","3,234",3,0,0,0,0,0,0,3,0,0,"1,250",0,0,0,17,N/A,0,0,0,0,0,0,17,"$                        							58,440,000","$                        							12,316,000,000","$                        							1,632,000,000","2,55,500","$                        							2,645,000,000","6,46,758","14,000                        						
							bbl","89,000,000                        						
							bbl","7,109,000                        						
							Cu.M"
Central African Republic,143,PwrIndx: 4.2381,"30,000",0,"1,000","12,54,512","1,01,717",8,0,8,0,0,0,0,0,0,0,270,0,0,0,0,N/A,0,0,0,0,0,0,0,"$                        							300,000,000","$                        							5,926,000,000","$                        							374,405,000","20,00,000","$                        							724,179,000","56,50,957","0                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M"
Beliz,144,PwrIndx: 4.3602,"2,000",850,0,"90,226","8,732",3,0,0,1,0,1,0,1,0,0,164,0,0,0,15,N/A,0,0,0,0,0,0,15,"$                        							34,400,000","$                        							5,538,000,000","$                        							498,087,000","1,90,000","$                        							1,235,000,000","4,15,789","800                        						
							bbl","6,700,000                        						
							bbl","0                        						
							Cu.M"
Bhutan,145,PwrIndx: 5.7991,"16,000","50,000",0,"1,22,067","4,423",2,0,0,0,0,0,0,2,0,0,78,0,0,0,0,N/A,0,0,0,0,0,0,0,"$                        							26,600,000","$                        							11,517,000,000","$                        							941,018,000","4,06,500","$                        							2,827,000,000","8,84,546","0                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M"
