Country,Power_Index,defense_spending,purchasing_power_parity,coastline_coverage,border_coverage,total_aircraft_strength,tank_strength,total_naval_assets,fighter_aircraft,attack_aircraft,transport_aircraft,total_military_manpower,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,defense_budget_usd,external_debt_usd,foreign_exchange_gold_reserves,total_serviceable_airports,major_ports_and_terminals,total_merchant_marine_fleet,railway_coverage_km,roadway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,total_land_area_sq_km,waterway_coverage_km,Flag_URL,Power_Index_Rank_Gap,Power_Index_Rank,economic_assets_per_military_manpower,budget_to_gdp_ratio,Region,Alliance
United States,0.0741,8.32E+11,2.57E+13,19924,12002,13032,4666,465,1791,926,917,1333030,2610,611,610,5913,1024,4666,409660,1521,1878,1731,465,8265799,11,9,66,83,0,27,0,8.32E+11,2.45E+13,9.10E+11,16116,666,3533,293564,6586610,20953000,20307000,38212000000,1.03E+12,9.14E+11,1.34E+13,534234000,495156000,2.48E+11,9833517,41009,https://www.globalfirepower.com/imgs/flags/sml/united-states.jpg,0.005,1,19261381.96,0.032384328,North America,NATO
Russia,0.0791,2.13E+11,6.09E+12,37653,22407,4237,5630,747,861,698,458,1320000,530,137,18,1643,556,5630,126512,3603,5920,2486,747,1426539,1,0,66,13,12,79,70,2.13E+11,2.26E+11,5.97E+11,905,67,2910,85494,1283387,10879000,3863000,80000000000,6.18E+11,4.72E+11,4.78E+13,531130000,290763000,1.62E+11,17098242,102000,https://www.globalfirepower.com/imgs/flags/sml/russia.jpg,0.0128,2,4612878.788,0.034921707,Europe,CSTO
China,0.0919,3.03E+11,3.36E+13,14500,22457,3529,5870,841,1443,371,287,2035000,401,105,9,1007,281,5870,152040,2940,1400,2770,841,3192411,3,4,61,53,46,50,150,3.03E+11,4.88E+11,3.46E+12,552,66,8314,150000,5200000,4984000,16189000,26023000000,2.25E+11,3.66E+11,6.65E+12,4805000000,5191000000,1.57E+11,9596960,27700,https://www.globalfirepower.com/imgs/flags/sml/china.jpg,0.0427,3,16510073.71,0.009018394,Asia,None
India,0.1346,1.09E+11,1.42E+13,7000,13888,2183,3913,343,476,124,277,1431000,334,72,6,594,79,3913,163554,100,5640,300,343,631989,2,0,18,13,18,21,146,1.09E+11,2.13E+11,6.43E+11,315,56,1859,65554,6371847,822000,5271000,4605000000,33170000000,58867000000,1.38E+12,1020000000,1262000000,1.28E+11,3287263,14500,https://www.globalfirepower.com/imgs/flags/sml/india.jpg,0.0296,4,9953878.407,0.007652345,Asia,None
South Korea,0.1642,44800000000,2.61E+12,2413,237,1540,1831,215,242,98,40,450000,335,35,4,827,113,1831,117460,2780,5800,525,215,427946,0,2,22,14,18,3,96,44800000000,5.54E+11,4.18E+11,92,15,2149,3979,100428,38000,2542000,0,55127000,59480000000,7079000000,16081000,136817000,326000000,99720,1600,https://www.globalfirepower.com/imgs/flags/sml/south-korea.jpg,0.0156,5,5793333.333,0.017184503,Asia,None
France,0.1798,67232395000,3.73E+12,4853,4072,974,427,166,223,0,118,264000,140,44,15,452,67,427,110784,74,0,9,166,487471,1,3,9,11,5,0,22,67232395000,7.69E+12,2.83E+11,1218,66,553,27860,1053215,80000,1536000,61719000,20132000,37001000000,7787000000,2157000,12570000,160000000,643801,8501,https://www.globalfirepower.com/imgs/flags/sml/france.jpg,0.0078,6,14136363.64,0.018015111,Europe,NATO
Japan,0.1876,58000000000,5.72E+12,29751,0,1429,734,158,217,47,53,251500,399,135,10,583,118,734,54390,193,480,99,158,798062,0,4,23,41,8,0,6,58000000000,5.15E+12,1.23E+12,280,163,5229,27311,1218772,8000,3140000,44115000,2220000000,92843000000,20898000000,27657000,197612000,350000000,377915,1770,https://www.globalfirepower.com/imgs/flags/sml/japan.jpg,0.0005,7,22723658.05,0.010148731,Asia,None
United Kingdom,0.1881,88526529585,3.64E+12,12429,499,625,288,116,103,38,30,141330,201,29,9,262,50,288,94064,14,126,43,116,406308,2,0,10,6,7,0,26,88526529585,1.06E+13,1.75E+11,1057,185,868,16390,416461,753000,1406000,2500000000,37758000000,70141000000,1.81E+11,1568000,7372000,26000000,243610,3200,https://www.globalfirepower.com/imgs/flags/sml/united-kingdom.jpg,0.0094,8,25727021.86,0.02434723,Europe,NATO
Turkiye,0.1975,51400000000,3.02E+12,7200,2816,1101,2284,192,201,0,84,481000,301,27,7,509,111,2284,98193,1045,635,237,192,349739,0,1,14,0,17,9,40,51400000000,1.50E+11,1.55E+11,116,54,1170,11497,68526,83000,1107000,366000000,379701000,52887000000,3794000000,82534000,124183000,10975000000,783562,1200,https://www.globalfirepower.com/imgs/flags/sml/turkey.jpg,0.0236,9,6274428.274,0.017031146,,None
Italy,0.2211,37325165000,3.13E+12,7600,1836,714,203,285,88,65,31,165500,152,22,8,352,37,203,87364,64,108,21,285,387892,2,0,8,3,14,0,15,37325165000,3.03E+12,2.91E+11,655,123,1276,18475,228863,111000,1245000,497934000,3117000000,68735000000,45750000000,1572000,12424000,609999000,301340,2400,https://www.globalfirepower.com/imgs/flags/sml/italy.jpg,0.0163,10,18930513.6,0.011913554,Europe,NATO
Brazil,0.2374,26400000000,4.17E+12,7491,16145,495,294,69,44,30,107,376000,124,25,0,186,0,294,22464,149,412,82,69,166419,0,1,6,0,8,2,22,26400000000,1.99E+11,3.30E+11,5297,45,888,29850,2000000,4221000,3163000,12715000000,22670000000,31654000000,3.64E+11,15556000,32223000,6596000000,8515770,50000,https://www.globalfirepower.com/imgs/flags/sml/brazil.jpg,0.0089,11,11077127.66,0.006338535,South America,None
Germany,0.2463,1.27E+11,5.25E+12,2389,3694,569,296,96,127,63,55,184324,16,27,3,292,49,296,87338,134,0,33,96,241492,0,0,6,0,11,6,54,1.27E+11,6.86E+12,3.78E+11,840,35,595,39379,830000,131000,2062000,115200000,4824000000,77516000000,23390000000,109741000,140994000,35400000000,357022,7300,https://www.globalfirepower.com/imgs/flags/sml/germany.jpg,0.0119,12,28466179.12,0.024280558,Europe,NATO
Indonesia,0.2582,11155297716,4.10E+12,54716,2958,460,331,338,41,34,73,404500,114,15,1,212,15,331,28064,153,396,67,338,324754,0,0,4,0,10,26,211,11155297716,2.25E+11,1.56E+11,556,123,11422,8159,496607,865000,1645000,2480000000,57410000000,36061000000,1.41E+12,783453000,281159000,35055000000,1904569,21579,https://www.globalfirepower.com/imgs/flags/sml/indonesia.jpg,0.0044,13,10140914.71,0.002719478,Asia,None
Pakistan,0.2626,9102115350,1.39E+12,1046,7257,1397,2677,120,331,90,63,660000,563,27,4,379,55,2677,59044,662,2629,652,120,115187,0,0,8,0,9,6,79,9102115350,89148000000,18408000000,117,3,60,11881,264175,91000,645000,540000000,36937000000,46448000000,5.92E+11,13765000,30191000,2857000000,796095,0,https://www.globalfirepower.com/imgs/flags/sml/pakistan.jpg,0.0081,14,2106060.606,0.006548284,Asia,None
Israel,0.2707,34600000000,4.72E+11,273,1068,597,1300,82,239,45,14,169500,148,19,13,127,48,1300,62380,323,171,228,82,40638,0,0,6,0,0,7,66,34600000000,1.63E+11,2.15E+11,40,5,41,1497,20391,15000,219000,12730000,22886000000,11510000000,1.76E+11,0,5297000,0,21937,0,https://www.globalfirepower.com/imgs/flags/sml/israel.jpg,0.0492,15,2785705.015,0.073277606,Asia,None
Iran,0.3199,9230000000,1.49E+12,2440,5894,551,2675,109,188,21,86,610000,103,10,6,129,13,2675,75939,424,1803,1550,109,283516,0,0,25,0,7,3,21,9230000000,6759000000,1.21E+11,177,18,965,8484,223485,4112000,2415000,2.09E+11,2.63E+11,2.45E+11,3.40E+13,2209000,3032000,1203000000,1648195,850,https://www.globalfirepower.com/imgs/flags/sml/iran.jpg,0.0009,16,2436065.574,0.006211306,Asia,None
Australia,0.3208,57350000000,1.64E+12,25760,0,348,46,45,24,71,37,58910,107,31,6,72,22,46,17118,0,48,8,45,199898,0,2,6,3,7,0,13,57350000000,3.77E+12,60404000000,2257,66,604,32606,873573,386000,1151000,2446000000,1.54E+11,50188000000,3.23E+12,445077000,95667000,1.49E+11,7741220,2000,https://www.globalfirepower.com/imgs/flags/sml/australia.jpg,0.0039,17,27754201.32,0.035076453,Oceania,None
Spain,0.3247,39000676350,2.36E+12,4964,1953,440,298,175,136,12,51,121802,108,8,0,169,17,298,49324,96,188,0,175,249889,1,0,2,0,11,0,112,39000676350,2.83E+12,1.08E+11,365,52,503,15489,150110,47000,1325000,150000000,41009000,32833000000,2549000000,1280000,7388000,1187000000,505370,1000,https://www.globalfirepower.com/imgs/flags/sml/spain.jpg,0.0404,18,19383918.16,0.016518711,Europe,NATO
Egypt,0.3651,5193500000,1.96E+12,2450,2612,1088,3620,149,242,90,53,438500,344,11,0,348,100,3620,54694,1056,962,648,149,235989,0,2,8,0,13,7,61,5193500000,1.17E+11,44921000000,73,31,441,5085,65050,667000,830000,3300000000,64817000000,60089000000,1.78E+12,69000,3262000,182000000,1001450,3500,https://www.globalfirepower.com/imgs/flags/sml/egypt.jpg,0.004,19,4465222.349,0.002652451,Africa,None
Ukraine,0.3691,45000000000,5.78E+11,2782,5581,347,1121,169,88,30,22,900000,72,5,0,140,39,1121,45458,682,625,288,169,22266,0,0,0,0,0,0,133,45000000000,90003000000,43781000000,152,26,410,21733,169694,3000,192000,395000000,18725000000,22856000000,1.10E+12,19603000,25012000,34375000000,603550,1672,https://www.globalfirepower.com/imgs/flags/sml/ukraine.jpg,0.02,20,641758.8889,0.07791088,Europe,None
Poland,0.3891,55865141600,1.65E+12,440,2845,457,798,63,58,12,44,250000,112,11,0,224,29,798,57972,593,0,298,63,55530,0,0,1,0,2,2,3,55865141600,4.26E+11,2.23E+11,318,10,152,19461,427580,24000,743000,113000000,5551000000,20056000000,91492000000,96720000,99932000,27758000000,312685,3997,https://www.globalfirepower.com/imgs/flags/sml/poland.jpg,0.0036,21,6596000,0.033878194,Europe,NATO
Taiwan,0.3927,31180000000,1.74E+12,1566,0,720,1090,91,258,0,19,230000,215,18,0,239,91,1090,24067,488,1360,223,91,244050,0,0,4,4,21,7,36,31180000000,2.30E+11,5.42E+11,57,8,465,1613,43206,800,954000,2380000,63747000,21157000000,6230000000,5212000,64609000,1000000,35980,0,https://www.globalfirepower.com/imgs/flags/sml/taiwan.jpg,0.0139,22,7578260.87,0.017888698,Asia,None
Vietnam,0.4066,10200000000,1.46E+12,3444,4616,265,1999,116,61,0,6,450000,91,3,0,101,0,1999,69914,30,3250,774,116,102147,0,0,6,0,9,17,27,10200000000,34426000000,83082000000,36,16,1973,2600,195468,187000,544000,4400000000,7676000000,7676000000,6.99E+11,51519000,96099000,3116000000,331210,47130,https://www.globalfirepower.com/imgs/flags/sml/vietnam.jpg,0.0392,23,3235555.556,0.007005495,Asia,None
Thailand,0.4458,6006660000,1.56E+12,3219,5673,496,744,304,73,26,52,360850,134,25,0,258,7,744,52590,59,595,17,304,133523,0,1,0,0,7,5,254,6006660000,37065000000,2.37E+11,105,21,884,4127,180053,386000,1397000,252750000,30797000000,48898000000,1.38E+11,12812000,42371000,1063000000,513120,4000,https://www.globalfirepower.com/imgs/flags/sml/thailand.jpg,0.0015,24,4317583.483,0.003855366,Asia,None
