Country,Power_Index,defense_spending,purchasing_power_parity,coastline_coverage,border_coverage,total_aircraft_strength,tank_strength,total_naval_assets,fighter_aircraft,attack_aircraft,transport_aircraft,total_military_manpower,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,defense_budget_usd,external_debt_usd,foreign_exchange_gold_reserves,total_serviceable_airports,major_ports_and_terminals,total_merchant_marine_fleet,railway_coverage_km,roadway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,total_land_area_sq_km,waterway_coverage_km,Flag_URL,Power_Index_Rank_Gap,Power_Index_Rank,economic_assets_per_military_manpower,budget_to_gdp_ratio,Region,Alliance
Ethiopia,0.8525,3720968976,3.81E+11,0,5925,104,338,0,25,0,9,503000,34,0,0,33,7,338,8586,142,469,79,0,,0,0,0,0,0,0,0,3720968976,25426000000,3784000000,58,0,12,659,180000,0,102000,428000,0,0,24919000000,456000,1653000,0,1104300,0,https://www.globalfirepower.com/imgs/flags/sml/ethiopia.jpg,0.0148,47,757246.5209,0.009769015,Africa,None
Finland,0.8673,8890000000,3.14E+11,1250,2563,162,200,165,53,0,11,24000,77,1,0,27,0,200,14866,125,667,76,165,19434,0,0,0,0,0,0,8,8890000000,7.26E+11,17993000000,98,37,282,5918,108637,8000,175000,0,0,1157000000,0,811000,3933000,0,338145,8000,https://www.globalfirepower.com/imgs/flags/sml/finland.jpg,0.0031,48,13066291.67,0.028349028,Europe,NATO
Chile,0.8704,6800000000,5.97E+11,6435,7801,274,386,130,45,0,33,80000,92,18,5,86,0,386,7480,48,249,9,130,176065,0,0,4,0,8,0,40,6800000000,2.36E+11,44403000000,379,39,249,7282,77801,11000,404000,150000000,1200000000,6916000000,97976000000,474000,8087000,1181000000,756102,12290,https://www.globalfirepower.com/imgs/flags/sml/chile.jpg,0.0123,49,7456950,0.011398762,South America,None
Peru,0.8827,2552000000,5.36E+11,2414,7062,252,355,78,15,22,39,120000,68,12,0,112,16,355,9168,12,290,61,78,171629,0,0,6,0,7,8,13,2552000000,38102000000,79246000000,174,20,111,1855,70000,118000,255000,858890000,12270000000,7185000000,3.00E+11,1382000,973000,1567000000,1285216,8808,https://www.globalfirepower.com/imgs/flags/sml/peru.jpg,0.0279,50,4465925,0.004761985,South America,None
Venezuela,0.9106,6060000000,1.11E+11,2800,5267,224,282,41,30,0,47,109000,75,3,1,85,10,282,15168,60,92,56,41,,0,0,3,0,1,0,26,6060000000,1.21E+11,9944750000,509,31,272,447,96189,801000,203000,3.04E+11,17696000000,17696000000,5.67E+12,149000,80000,730999000,912050,7100,https://www.globalfirepower.com/imgs/flags/sml/venezuela.jpg,0.0452,51,1017825.688,0.054622644,South America,None
Romania,0.9558,10230630000,7.74E+11,225,2844,148,451,18,29,0,13,90000,44,2,0,66,0,451,13266,0,720,243,18,,0,0,0,0,3,7,0,10230630000,1.45E+11,73391000000,103,11,127,10628,85387,67000,220000,600000000,9501000000,10055000000,1.05E+11,14752000,15533000,291000000,238391,1731,https://www.globalfirepower.com/imgs/flags/sml/romania.jpg,0.035,52,8604177.778,0.01321145,Europe,NATO
Uzbekistan,0.9908,6210000000,3.80E+11,420,6893,159,470,0,26,13,12,120000,7,0,0,101,34,470,8692,177,236,108,0,,0,0,0,0,0,0,0,6210000000,25714000000,41237000000,74,0,0,4642,225500,64000,111000,594000000,47500000000,43227000000,1.84E+12,6379000,8941000,1375000000,447400,1100,https://www.globalfirepower.com/imgs/flags/sml/uzbekistan.jpg,0.028,53,3166575,0.016342578,Asia,None
United Arab Emirates,1.0188,23480000000,7.46E+11,1318,1066,581,354,84,99,40,35,65000,151,27,5,250,30,354,8982,165,99,49,84,20210,0,0,0,0,0,11,34,23480000000,2.90E+11,2.38E+11,42,20,655,0,4080,4146000,846000,97800000000,56683000000,66091000000,6091000000,0,5411000,0,83600,0,https://www.globalfirepower.com/imgs/flags/sml/united-arab-emirates.jpg,0.0125,54,11476830.77,0.031474784,Asia,None
Czechia,1.0313,9174000000,5.22E+11,0,2046,103,20,0,12,16,10,30334,21,2,0,42,4,20,6275,53,0,16,0,,0,0,0,0,0,0,0,9174000000,2.32E+11,1.46E+11,252,0,0,9548,129418,4000,219000,15000000,224725000,7602000000,3964000000,31946000,33239000,3595000000,78867,664,https://www.globalfirepower.com/imgs/flags/sml/czechoslovakia.jpg,0.0055,55,17206039.43,0.017577137,Europe,None
Morocco,1.0368,16100000000,3.51E+11,1835,2363,271,1346,100,84,0,31,400000,77,4,2,73,6,1346,17594,544,188,185,100,,0,0,0,0,6,1,84,16100000000,42262000000,37134000000,48,12,94,2067,57300,25,296000,684000,82595000,243201000,1444000000,0,10304000,96000000,715550,0,https://www.globalfirepower.com/imgs/flags/sml/morocco.jpg,0.0061,56,876485,0.045922064,Africa,None
Hungary,1.0429,5887250000,3.89E+11,0,2106,80,220,0,12,0,3,41600,17,0,0,50,8,220,11502,24,295,0,0,,0,0,0,0,0,0,0,5887250000,1.51E+11,46422000000,109,0,1,7687,203601,36000,179000,12100000,1523000000,9485000000,3738000000,4293000,4694000,2633000000,103000,1622,https://www.globalfirepower.com/imgs/flags/sml/hungary.jpg,0.0004,57,9355937.5,0.01512627,Europe,NATO
